target 
(39 trained, 
95 skipped/
errors),        status , scenario, train_samples, test_samples, mae                  , rmse                , r2                    , median, max   , reason
Ambrosia      , ok     , baseline,        3088.0,       1324.0, 28.391575902906      , 56.70321256515525   , 0.26697334034929354   ,    0.0, 1099.0, 
Artemisia     , ok     , baseline,        3088.0,       1324.0,  0.9386559965094591  ,  1.591442092041734  , -0.5307763146309337   ,    0.0,   77.0, 
Alnus         , ok     , baseline,        3088.0,       1324.0,  0.8692495167985899  ,  2.7128284469241795 , -0.021432038181324442 ,    0.0,  315.0, 
Betula        , ok     , baseline,        3088.0,       1324.0,  9.11195746634797    , 19.695400479615998  , 0.009123788589577853  ,    0.0,  776.0, 
Carpinus      , ok     , baseline,        3088.0,       1324.0,  2.013971860558526   ,  7.8511914060481365 , 0.010326434751304903  ,    0.0,  168.0, 
Castanea      , ok     , baseline,        3088.0,       1324.0,  0.5523384161776401  ,  1.097167035151249  , -0.12657122076597505  ,    0.0,   29.0, 
Quercus       , ok     , baseline,        3088.0,       1324.0,  2.4900380647058946  ,  6.499934824334493  , 0.11275566939091541   ,    0.0,  109.0, 
Chenopodium   , ok     , baseline,        3088.0,       1324.0,  0.6189620675367171  ,  1.1650184882843517 , 0.2434415295709792    ,    0.0,   16.0, 
Acer          , ok     , baseline,        3088.0,       1324.0,  0.1288509600179613  ,  0.6467445394034482 , -0.0009394254789811818,    0.0,   16.0, 
Fraxinus      , ok     , baseline,        3088.0,       1324.0,  2.6218443217729868  ,  5.325569796660603  , -0.1205951383737982   ,    0.0,  182.0, 
Fagus         , ok     , baseline,        3088.0,       1324.0,  0.20373983494339518 ,  0.6732938203002304 , -0.026432458555519123 ,    0.0,   16.0, 
Aesculus      , ok     , baseline,        3088.0,       1324.0,  0.3969005519968072  ,  0.9478914394779213 , 0.08119184483797537   ,    0.0,   44.0, 
Larix         , skipped,         ,              ,             ,                      ,                     ,                       ,       ,       , nonzero_train_samples=6<50
Corylus       , ok     , baseline,        3088.0,       1324.0,  0.7126134843850407  ,  1.0387285473664152 , -2.462941119059611    ,    0.0,   59.0, 
Juglans       , ok     , baseline,        3088.0,       1324.0,  1.0996271624114489  ,  2.958081538659053  , 0.2630600061358036    ,    0.0,   48.0, 
Ulmus         , ok     , baseline,        3088.0,       1324.0,  0.448900172571487   ,  1.2726661806549826 , -0.014183261550890336 ,    0.0,   33.0, 
Urtica        , ok     , baseline,        3088.0,       1324.0, 13.726840008343528   , 24.526553577500042  , 0.16225711668914378   ,    4.0,  569.0, 
Rumex         , ok     , baseline,        3088.0,       1324.0,  0.5139205614140038  ,  1.0772791374015933 , 0.01151229518713015   ,    0.0,   14.0, 
Populus       , ok     , baseline,        3088.0,       1324.0,  2.0516985574261684  ,  6.311847567970731  , 0.17977741795569135   ,    0.0,  113.0, 
