target,status,scenario,train_samples,test_samples,mae,rmse,r2,median,max,reason
Ambrosia,ok,oracle_forecast,3088.0,1324.0,21.94610058101073,51.49738515683973,0.3953907382532683,0.0,1099.0,
Artemisia,ok,oracle_forecast,3088.0,1324.0,1.141863616036562,1.7749803949475549,-0.9042202264446668,0.0,77.0,
Alnus,ok,oracle_forecast,3088.0,1324.0,0.9349760028499874,2.7147299114064793,-0.022864415823299122,0.0,315.0,
Betula,ok,oracle_forecast,3088.0,1324.0,7.865299739196806,19.3780574396953,0.040797619565552834,0.0,776.0,
Carpinus,ok,oracle_forecast,3088.0,1324.0,2.165967819449742,7.644246018172692,0.06181140096310567,0.0,168.0,
Castanea,ok,oracle_forecast,3088.0,1324.0,0.6294063866599899,1.1843802823008631,-0.31279069158319284,0.0,29.0,
Quercus,ok,oracle_forecast,3088.0,1324.0,2.2511868918349043,6.313682326455605,0.16287428644647028,0.0,109.0,
Chenopodium,ok,oracle_forecast,3088.0,1324.0,0.5993655411008847,1.1870562818473693,0.21454829941825204,0.0,16.0,
Acer,ok,oracle_forecast,3088.0,1324.0,0.194034415616561,0.6484945573627173,-0.006363613126407985,0.0,16.0,
Fraxinus,ok,oracle_forecast,3088.0,1324.0,2.130529317432266,5.0988814106914555,-0.027226926108786964,0.0,182.0,
Fagus,ok,oracle_forecast,3088.0,1324.0,0.20834206940544336,0.6827691163302875,-0.05552581003422441,0.0,16.0,
Aesculus,ok,oracle_forecast,3088.0,1324.0,0.33387714615805647,0.9515832841677626,0.07402076462432639,0.0,44.0,
Larix,skipped,,,,,,,,,nonzero_train_samples=6<50
Corylus,ok,oracle_forecast,3088.0,1324.0,0.7172706396033385,1.1226718627980297,-3.0452619417463422,0.0,59.0,
Juglans,ok,oracle_forecast,3088.0,1324.0,0.9931471852242406,2.957624753510836,0.2632875842125719,0.0,48.0,
Ulmus,ok,oracle_forecast,3088.0,1324.0,0.431175462228775,1.3104545951629003,-0.07530431269691684,0.0,33.0,
Urtica,ok,oracle_forecast,3088.0,1324.0,13.468262268811516,24.265718350237005,0.17998084076349774,4.0,569.0,
Rumex,ok,oracle_forecast,3088.0,1324.0,0.5204570841612548,1.083254091440166,0.0005169139502294584,0.0,14.0,
Populus,ok,oracle_forecast,3088.0,1324.0,2.4035237310616915,6.279014064451728,0.188288629715883,0.0,113.0,
Plantago,ok,oracle_forecast,3088.0,1324.0,0.8211408152816159,1.6051252939890874,0.053312303014637186,0.0,24.0,
Platanus,ok,oracle_forecast,3088.0,1324.0,1.239726021729362,3.0209881944607515,-0.12246930935474132,0.0,75.0,
Salix,ok,oracle_forecast,3088.0,1324.0,3.4808191563663273,6.550522745029735,0.061024560764984415,0.0,199.0,
Filipendula,skipped,,,,,,,,,nonzero_train_samples=13<50
Sambucus,ok,oracle_forecast,3088.0,1324.0,0.35054574375043646,0.581737695940656,-0.3465496222510982,0.0,32.0,
Tilia,ok,oracle_forecast,3088.0,1324.0,0.8893643563011963,4.023211040018806,-0.0028091449831513238,0.0,59.0,
Abies,skipped,,,,,,,,,nonzero_train_samples=2<50
Aeculus,skipped,,,,,,,,,nonzero_train_samples=0<50
Ailnthus,skipped,,,,,,,,,nonzero_train_samples=0<50
Amaranthus,skipped,,,,,,,,,nonzero_train_samples=12<50
Anthriscus,ok,oracle_forecast,3088.0,1324.0,0.023544355470045637,0.03904467116769446,-1.0199455615312898,0.0,2.0,
Aster,ok,oracle_forecast,3088.0,1324.0,0.42979927423123127,0.7366775368290198,-17.073736510156415,0.0,31.0,
Atriplex,skipped,,,,,,,,,nonzero_train_samples=6<50
Begonia,skipped,,,,,,,,,nonzero_train_samples=10<50
Bellis,skipped,,,,,,,,,nonzero_train_samples=32<50
Brassica,ok,oracle_forecast,3088.0,1324.0,0.35633333071889045,1.0397749258608169,0.025762785302457902,0.0,19.0,
Brassicaceae,skipped,,,,,,,,,nonzero_train_samples=19<50
Callistemon,skipped,,,,,,,,,nonzero_train_samples=2<50
Campanula,skipped,,,,,,,,,nonzero_train_samples=30<50
Canabis,skipped,,,,,,,,,nonzero_train_samples=28<50
Carex,ok,oracle_forecast,3088.0,1324.0,0.07787528548254617,0.2695702480813883,-0.017626502526474352,0.0,5.0,
Carya,skipped,,,,,,,,,nonzero_train_samples=3<50
Celtis,skipped,,,,,,,,,nonzero_train_samples=0<50
Centaurea,skipped,,,,,,,,,nonzero_train_samples=6<50
Cetaurea,skipped,,,,,,,,,nonzero_train_samples=3<50
Clematis,skipped,,,,,,,,,nonzero_train_samples=1<50
Coryllus,skipped,,,,,,,,,nonzero_train_samples=11<50
Crategus,skipped,,,,,,,,,nonzero_train_samples=1<50
Cucurbita,skipped,,,,,,,,,nonzero_train_samples=1<50
Cupresssus,skipped,,,,,,,,,nonzero_train_samples=49<50
Cupressus,ok,oracle_forecast,3088.0,1324.0,2.3833463483326858,4.705134115063468,-0.02286443641916991,0.0,212.0,
Cyperus,skipped,,,,,,,,,nonzero_train_samples=1<50
Dahlia,skipped,,,,,,,,,nonzero_train_samples=1<50
Daucus,ok,oracle_forecast,3088.0,1324.0,0.20552887902187122,0.3727985819926294,-0.010818527356445617,0.0,12.0,
Daucus c.,skipped,,,,,,,,,nonzero_train_samples=12<50
Daucus carota,skipped,,,,,,,,,nonzero_train_samples=22<50
Dianthus,skipped,,,,,,,,,nonzero_train_samples=8<50
Erica,skipped,,,,,,,,,nonzero_train_samples=0<50
Erigeron,skipped,,,,,,,,,nonzero_train_samples=3<50
Eupatorium,skipped,,,,,,,,,nonzero_train_samples=13<50
Euphorbia,skipped,,,,,,,,,nonzero_train_samples=8<50
Forsitia,skipped,,,,,,,,,nonzero_train_samples=0<50
Forsythia,skipped,,,,,,,,,nonzero_train_samples=17<50
Forsytia,skipped,,,,,,,,,nonzero_train_samples=3<50
Fresia,skipped,,,,,,,,,nonzero_train_samples=2<50
Galium,skipped,,,,,,,,,nonzero_train_samples=30<50
Gallium,skipped,,,,,,,,,nonzero_train_samples=2<50
Helianthus,skipped,,,,,,,,,nonzero_train_samples=9<50
Herachleum,skipped,,,,,,,,,nonzero_train_samples=2<50
Heracleum,skipped,,,,,,,,,nonzero_train_samples=9<50
Humulus,ok,oracle_forecast,3088.0,1324.0,0.5078700643969739,1.3651963506438916,0.12664244360714771,0.0,31.0,
Iva,ok,oracle_forecast,3088.0,1324.0,0.0812373465902891,0.10454095928334965,-13.48068438307394,0.0,15.0,
Iva xanth,skipped,,,,,,,,,nonzero_train_samples=0<50
Juniperus,skipped,,,,,,,,,nonzero_train_samples=2<50
Lamium,skipped,,,,,,,,,nonzero_train_samples=0<50
Lathyrus,skipped,,,,,,,,,nonzero_train_samples=2<50
Ligustrum,ok,oracle_forecast,3088.0,1324.0,0.056860531559298405,0.27770690576854684,-0.017372290772471155,0.0,8.0,
Lonicera,skipped,,,,,,,,,nonzero_train_samples=0<50
Lotus,ok,oracle_forecast,3088.0,1324.0,0.18324890081261444,0.9092762773090751,-0.0353993963907937,0.0,24.0,
Lupinus,skipped,,,,,,,,,nonzero_train_samples=2<50
Luzula,skipped,,,,,,,,,nonzero_train_samples=7<50
Lycopodium,skipped,,,,,,,,,nonzero_train_samples=1<50
Lygustrum,skipped,,,,,,,,,nonzero_train_samples=6<50
Magnolia,skipped,,,,,,,,,nonzero_train_samples=1<50
Matricaria,skipped,,,,,,,,,nonzero_train_samples=8<50
Matricharia,skipped,,,,,,,,,nonzero_train_samples=3<50
Medicago,skipped,,,,,,,,,nonzero_train_samples=7<50
Meercurialis,skipped,,,,,,,,,nonzero_train_samples=1<50
Melandrium,skipped,,,,,,,,,nonzero_train_samples=5<50
Melilotis,skipped,,,,,,,,,nonzero_train_samples=20<50
Melilotus,skipped,,,,,,,,,nonzero_train_samples=7<50
Mentha,skipped,,,,,,,,,nonzero_train_samples=2<50
